timestamp_unix_s,elapsed_s,gpu_util_pct,memory_used_mib,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,vllm_running,vllm_waiting,vllm_waiting_capacity,vllm_waiting_deferred,vllm_kv_cache_usage,vllm_preemptions_total
1787397687.8108487,0.019324105232954025,0,28205.9375,348.119,2925,13801,44,0.0,0.0,0.0,0.0,0.0,0.0
1787397688.0001423,0.20861654728651047,0,28205.9375,348.119,2925,13801,44,0.0,0.0,0.0,0.0,0.0,0.0
1787397688.2085035,0.4169791117310524,0,28205.9375,348.119,2925,13801,44,1.0,0.0,0.0,0.0,0.00043808411214951715,0.0
1787397688.413063,0.6215380690991879,0,28229.9375,348.119,2925,13801,44,2.0,0.0,0.0,0.0,0.0008761682242990343,0.0
1787397688.612952,0.8214264959096909,0,28229.9375,205.558,2910,13801,55,16.0,0.0,0.0,0.0,0.00963785046728971,0.0
1787397688.8112688,1.0197428986430168,0,28229.9375,205.558,2910,13801,55,15.0,0.0,0.0,0.0,0.010952102803738373,0.0
1787397689.0164738,1.2249479740858078,88,28229.9375,350.895,2880,13801,55,15.0,0.0,0.0,0.0,0.014602803738317793,0.0
1787397689.2067459,1.4152203761041164,88,28229.9375,350.895,2880,13801,55,1.0,0.0,0.0,0.0,0.0005841121495326895,0.0
1787397689.406031,1.6145053654909134,88,28229.9375,350.895,2880,13801,55,16.0,0.0,0.0,0.0,0.0062792056074766345,0.0
1787397689.6046884,1.8131628632545471,88,28229.9375,465.767,2887,13801,59,16.0,0.0,0.0,0.0,0.009783878504672883,0.0
1787397689.805293,2.0137673132121563,88,28229.9375,465.767,2887,13801,59,16.0,0.0,0.0,0.0,0.012412383177570097,0.0
1787397690.006946,2.215420663356781,86,28229.9375,467.174,2880,13801,56,1.0,0.0,0.0,0.0,0.0005841121495326895,0.0
1787397690.2190192,2.4274936579167843,86,28229.9375,467.174,2880,13801,56,1.0,0.0,0.0,0.0,0.0007301401869158619,0.0
1787397690.4173899,2.625864528119564,86,28229.9375,466.358,2880,13801,56,16.0,0.0,0.0,0.0,0.007009345794392496,0.0
1787397690.612906,2.8213803358376026,86,28229.9375,466.358,2880,13801,57,15.0,0.0,0.0,0.0,0.009929906542056055,0.0
1787397690.8130045,3.021479193121195,86,28229.9375,466.358,2880,13801,57,16.0,0.0,0.0,0.0,0.013580607476635476,0.0
