timestamp_unix_s,elapsed_s,gpu_util_pct,memory_used_mib,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,vllm_running,vllm_waiting,vllm_waiting_capacity,vllm_waiting_deferred,vllm_kv_cache_usage,vllm_preemptions_total
1786953880.9185498,0.01998909004032612,0,28484.0625,283.746,2887,13801,53,0.0,0.0,0.0,0.0,0.0,0.0
1786953881.1127844,0.2142240945249796,0,28484.0625,283.746,2887,13801,53,0.0,0.0,0.0,0.0,0.0,0.0
1786953881.3128104,0.4142497330904007,0,28484.0625,283.746,2887,13801,53,0.0,0.0,0.0,0.0,0.0,0.0
1786953881.5142896,0.6157289799302816,0,28484.0625,283.746,2887,13801,53,16.0,0.0,0.0,0.0,0.0130328536519142,0.0
1786953881.7132263,0.814665537327528,0,28484.0625,133.493,2895,13801,62,16.0,0.0,0.0,0.0,0.017377138202552267,0.0
1786953881.913179,1.0146181527525187,0,28484.0625,133.493,2895,13801,62,16.0,0.0,0.0,0.0,0.021721422753190334,0.0
1786953882.1148093,1.2162485681474209,93,28484.0625,336.554,2842,13801,65,16.0,0.0,0.0,0.0,0.0260657073038284,0.0
1786953882.3156445,1.41708355396986,93,28484.0625,336.554,2842,13801,65,15.0,0.0,0.0,0.0,0.028509367363562355,0.0
1786953882.5132327,1.6146718170493841,93,28484.0625,336.554,2842,13801,65,0.0,0.0,0.0,0.0,0.0,0.0
1786953882.713509,1.8149486146867275,93,28484.0625,441.425,2857,13801,55,1.0,0.0,0.0,0.0,0.0005430355688297306,0.0
1786953882.9149199,2.0163591224700212,93,28484.0625,441.425,2857,13801,55,16.0,0.0,0.0,0.0,0.017377138202552267,0.0
1786953883.1140466,2.2154857702553272,93,28484.0625,372.504,2850,13801,63,16.0,0.0,0.0,0.0,0.021721422753190334,0.0
1786953883.3138344,2.415273532271385,93,28484.0625,372.504,2850,13801,63,16.0,0.0,0.0,0.0,0.021992940537605254,0.0
1786953883.513922,2.615361262112856,93,28484.0625,372.504,2850,13801,63,16.0,0.0,0.0,0.0,0.030409991854466467,0.0
1786953883.7139244,2.8153633773326874,93,28484.0625,419.379,2835,13801,62,0.0,0.0,0.0,0.0,0.0,0.0
1786953883.9135878,3.0150270331650972,93,28484.0625,419.379,2835,13801,62,0.0,0.0,0.0,0.0,0.0,0.0
1786953884.1153834,3.216822497546673,24,28484.0625,364.218,2887,13801,54,2.0,0.0,0.0,0.0,0.0016291067064893028,0.0
1786953884.313993,3.415432011708617,24,28484.0625,364.218,2887,13801,54,7.0,0.0,0.0,0.0,0.008145533532446403,0.0
1786953884.517357,3.6187963280826807,24,28484.0625,364.218,2887,13801,54,16.0,0.0,0.0,0.0,0.01927776269345638,0.0
