timestamp_unix_s,elapsed_s,gpu_util_pct,memory_used_mib,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,vllm_running,vllm_waiting,vllm_waiting_capacity,vllm_waiting_deferred,vllm_kv_cache_usage,vllm_preemptions_total
1786954874.9939988,0.019942572340369225,0,28486.0625,286.286,2887,13801,56,0.0,0.0,0.0,0.0,0.0,0.0
1786954875.1884713,0.21441441401839256,0,28486.0625,286.286,2887,13801,56,0.0,0.0,0.0,0.0,0.0,0.0
1786954875.388702,0.4146450608968735,0,28486.0625,286.286,2887,13801,56,0.0,0.0,0.0,0.0,0.0,0.0
1786954875.588831,0.6147742476314306,0,28486.0625,286.286,2887,13801,56,12.0,0.0,0.0,0.0,0.006787944610372021,0.0
1786954875.7916455,0.8175886273384094,0,28486.0625,103.96,2887,13801,66,16.0,16.0,16.0,0.0,0.017377138202552267,0.0
1786954875.9919584,1.0179015193134546,0,28486.0625,103.96,2887,13801,66,16.0,16.0,16.0,0.0,0.021721422753190334,0.0
1786954876.1934323,1.219375504180789,93,28486.0625,302.324,2835,13801,67,16.0,16.0,16.0,0.0,0.02497963616616894,0.0
1786954876.3905978,1.4165410287678242,93,28486.0625,302.324,2835,13801,67,16.0,16.0,16.0,0.0,0.030409991854466467,0.0
1786954876.5902157,1.6161589976400137,93,28486.0625,302.324,2835,13801,67,16.0,0.0,0.0,0.0,0.0130328536519142,0.0
1786954876.7889862,1.8149291463196278,93,28486.0625,470.43,2842,13801,67,16.0,0.0,0.0,0.0,0.017377138202552267,0.0
1786954876.9913635,2.017306871712208,93,28486.0625,470.43,2842,13801,67,16.0,16.0,16.0,0.0,0.021721422753190334,0.0
1786954877.1892161,2.2151596061885357,91,28486.0625,510.058,2835,13801,66,16.0,16.0,16.0,0.0,0.0260657073038284,0.0
1786954877.3991117,2.4250551741570234,91,28486.0625,510.058,2835,13801,66,5.0,15.0,15.0,0.0,0.008145533532446403,0.0
1786954877.5888457,2.6147891096770763,91,28486.0625,510.058,2835,13801,66,16.0,0.0,0.0,0.0,0.013304371436329121,0.0
1786954877.790724,2.8166672084480524,91,28486.0625,508.615,2835,13801,68,16.0,4.0,4.0,0.0,0.017648655986967188,0.0
1786954877.9906878,3.0166307911276817,91,28486.0625,508.615,2835,13801,68,16.0,14.0,14.0,0.0,0.021721422753190334,0.0
1786954878.1915922,3.217535337433219,91,28486.0625,507.959,2835,13801,67,16.0,16.0,16.0,0.0,0.02633722508824332,0.0
1786954878.3893616,3.4153047800064087,91,28486.0625,507.959,2835,13801,67,12.0,4.0,4.0,0.0,0.006787944610372021,0.0
1786954878.5985022,3.6244452856481075,91,28486.0625,507.959,2835,13801,67,16.0,0.0,0.0,0.0,0.017377138202552267,0.0
1786954878.7936952,3.8196383994072676,91,28486.0625,509.23,2835,13801,66,16.0,16.0,16.0,0.0,0.021721422753190334,0.0
1786954878.9911397,4.017082815989852,91,28486.0625,509.23,2835,13801,66,16.0,16.0,16.0,0.0,0.0260657073038284,0.0
1786954879.1902263,4.216169653460383,93,28486.0625,510.033,2842,13801,69,16.0,16.0,16.0,0.0,0.030409991854466467,0.0
1786954879.3899863,4.415929516777396,93,28486.0625,510.033,2842,13801,69,16.0,0.0,0.0,0.0,0.0130328536519142,0.0
1786954879.593383,4.6193263698369265,93,28486.0625,510.033,2842,13801,69,16.0,1.0,1.0,0.0,0.017377138202552267,0.0
1786954879.79026,4.816203208640218,93,28486.0625,510.914,2842,13801,69,16.0,16.0,16.0,0.0,0.021721422753190334,0.0
1786954879.9914742,5.017417423427105,93,28486.0625,510.914,2842,13801,69,16.0,16.0,16.0,0.0,0.0260657073038284,0.0
1786954880.1918874,5.217830386012793,91,28486.0625,510.668,2842,13801,65,5.0,15.0,15.0,0.0,0.008145533532446403,0.0
1786954880.390574,5.4165173433721066,91,28486.0625,510.668,2842,13801,65,16.0,0.0,0.0,0.0,0.013304371436329121,0.0
1786954880.5933945,5.619337514042854,91,28486.0625,510.668,2842,13801,65,16.0,0.0,0.0,0.0,0.017377138202552267,0.0
1786954880.787824,5.813766995444894,91,28486.0625,500.22,2835,13801,65,16.0,16.0,16.0,0.0,0.021721422753190334,0.0
