timestamp_unix_s,elapsed_s,gpu_util_pct,memory_used_mib,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,vllm_running,vllm_waiting,vllm_waiting_capacity,vllm_waiting_deferred,vllm_kv_cache_usage,vllm_preemptions_total
1786953867.0465195,0.01929246447980404,0,28330.0625,277.52,2902,13801,50,0.0,0.0,0.0,0.0,0.0,0.0
1786953867.2379837,0.210757153108716,0,28330.0625,277.52,2902,13801,50,0.0,0.0,0.0,0.0,0.0,0.0
1786953867.4348083,0.40758090279996395,0,28330.0625,277.52,2902,13801,50,0.0,0.0,0.0,0.0,0.0,0.0
1786953867.641269,0.6140414364635944,0,28330.0625,277.52,2902,13801,50,8.0,0.0,0.0,0.0,0.0065164268259571,0.0
1786953867.8357887,0.8085612133145332,0,28330.0625,120.476,2902,13801,56,8.0,0.0,0.0,0.0,0.010860711376595167,0.0
1786953868.0350373,1.007809679955244,0,28330.0625,120.476,2902,13801,56,8.0,0.0,0.0,0.0,0.0130328536519142,0.0
1786953868.2355647,1.2083373684436083,87,28330.0625,266.925,2872,13801,60,0.0,0.0,0.0,0.0,0.0,0.0
1786953868.4358907,1.4086636621505022,87,28330.0625,266.925,2872,13801,60,0.0,0.0,0.0,0.0,0.0,0.0
1786953868.6424594,1.615232264623046,87,28330.0625,266.925,2872,13801,60,8.0,0.0,0.0,0.0,0.008688569101276133,0.0
1786953868.84113,1.813902547582984,87,28330.0625,347.156,2887,13801,60,8.0,0.0,0.0,0.0,0.010860711376595167,0.0
1786953869.043506,2.016278536990285,87,28330.0625,347.156,2887,13801,60,8.0,0.0,0.0,0.0,0.013304371436329121,0.0
1786953869.2419398,2.2147120870649815,90,28330.0625,349.326,2872,13801,56,0.0,0.0,0.0,0.0,0.0,0.0
1786953869.4488685,2.4216414652764797,90,28330.0625,349.326,2872,13801,56,1.0,0.0,0.0,0.0,0.0008145533532446514,0.0
1786953869.6455488,2.6183215845376253,90,28330.0625,349.326,2872,13801,56,8.0,0.0,0.0,0.0,0.008688569101276133,0.0
1786953869.8424172,2.815189676359296,90,28330.0625,348.38,2895,13801,60,8.0,0.0,0.0,0.0,0.011132229161010088,0.0
1786953870.0446188,3.017391797155142,90,28330.0625,348.38,2895,13801,60,7.0,0.0,0.0,0.0,0.013304371436329121,0.0
