timestamp_unix_s,elapsed_s,gpu_util_pct,memory_used_mib,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,vllm_running,vllm_waiting,vllm_waiting_capacity,vllm_waiting_deferred,vllm_kv_cache_usage,vllm_preemptions_total
1786953899.7686126,0.018061868846416473,0,28484.0625,299.083,2887,13801,56,0.0,0.0,0.0,0.0,0.0,0.0
1786953899.9647312,0.21418017894029617,0,28484.0625,299.083,2887,13801,56,0.0,0.0,0.0,0.0,0.0,0.0
1786953900.166124,0.4155736621469259,0,28484.0625,299.083,2887,13801,56,0.0,0.0,0.0,0.0,0.0,0.0
1786953900.3676727,0.6171216648072004,0,28484.0625,299.083,2887,13801,56,7.0,0.0,0.0,0.0,0.005701873472712449,0.0
1786953900.5694537,0.818902850151062,0,28484.0625,113.472,2887,13801,61,16.0,1.0,1.0,0.0,0.01248981808308447,0.0
1786953900.7704556,1.019904488697648,0,28484.0625,113.472,2887,13801,61,16.0,14.0,14.0,0.0,0.01927776269345638,0.0
1786953900.9696224,1.2190714348107576,93,28484.0625,283.616,2850,13801,67,16.0,16.0,16.0,0.0,0.023622047244094446,0.0
1786953901.165405,1.4148540999740362,93,28484.0625,283.616,2850,13801,67,16.0,9.0,9.0,0.0,0.01873472712462665,0.0
1786953901.3653016,1.6147507783025503,93,28484.0625,283.616,2850,13801,67,16.0,9.0,9.0,0.0,0.02470811838175402,0.0
1786953901.5650442,1.814493352547288,93,28484.0625,491.222,2835,13801,67,16.0,5.0,5.0,0.0,0.016834102633722536,0.0
1786953901.7653253,2.014774663373828,93,28484.0625,491.222,2835,13801,67,16.0,7.0,7.0,0.0,0.021178387184360603,0.0
1786953901.9652843,2.214734172448516,93,28484.0625,506.295,2835,13801,65,16.0,11.0,11.0,0.0,0.02552267173499867,0.0
1786953902.1658502,2.4152993857860565,93,28484.0625,506.295,2835,13801,65,16.0,4.0,4.0,0.0,0.02036383383111595,0.0
1786953902.3757436,2.62519309297204,93,28484.0625,506.295,2835,13801,65,7.0,4.0,4.0,0.0,0.007602497963616672,0.0
1786953902.574544,2.82399295642972,93,28486.0625,504.19,2835,13801,68,16.0,0.0,0.0,0.0,0.017920173771381998,0.0
1786953902.767905,3.0173542201519012,93,28486.0625,504.19,2835,13801,68,16.0,5.0,5.0,0.0,0.022264458322020064,0.0
1786953902.9665956,3.216044846922159,91,28486.0625,503.733,2842,13801,67,15.0,7.0,7.0,0.0,0.023622047244094446,0.0
1786953903.1734493,3.4228982497006655,91,28486.0625,503.733,2842,13801,67,16.0,9.0,9.0,0.0,0.020635351615530872,0.0
1786953903.3728323,3.6222812458872795,91,28486.0625,503.733,2842,13801,67,11.0,5.0,5.0,0.0,0.009774640238935706,0.0
1786953903.5705397,3.819988716393709,91,28486.0625,505.021,2835,13801,68,16.0,5.0,5.0,0.0,0.01927776269345638,0.0
1786953903.7798362,4.029285162687302,91,28486.0625,505.021,2835,13801,68,16.0,7.0,7.0,0.0,0.023893565028509367,0.0
1786953903.9704514,4.219900943338871,91,28486.0625,505.18,2835,13801,68,16.0,9.0,9.0,0.0,0.01873472712462665,0.0
1786953904.1690984,4.4185479413717985,91,28486.0625,505.18,2835,13801,68,16.0,9.0,9.0,0.0,0.02470811838175402,0.0
1786953904.367404,4.616853058338165,91,28486.0625,505.18,2835,13801,68,16.0,7.0,7.0,0.0,0.016834102633722536,0.0
1786953904.567261,4.816709974780679,91,28486.0625,506.752,2827,13801,68,16.0,7.0,7.0,0.0,0.021178387184360603,0.0
1786953904.770795,5.020244516432285,91,28486.0625,506.752,2827,13801,68,16.0,16.0,16.0,0.0,0.02552267173499867,0.0
1786953904.9679012,5.217350343242288,93,28486.0625,508.802,2827,13801,67,16.0,9.0,9.0,0.0,0.02036383383111595,0.0
1786953905.173693,5.42314188182354,93,28486.0625,508.802,2827,13801,67,12.0,9.0,9.0,0.0,0.017105620418137346,0.0
1786953905.3687952,5.618244139477611,93,28486.0625,508.802,2827,13801,67,16.0,7.0,7.0,0.0,0.017920173771381998,0.0
1786953905.569462,5.818911466747522,93,28486.0625,508.271,2835,13801,68,16.0,7.0,7.0,0.0,0.022264458322020064,0.0
1786953905.7693605,6.018812153488398,93,28486.0625,508.271,2835,13801,68,15.0,7.0,7.0,0.0,0.023622047244094446,0.0
1786953905.971129,6.220577972009778,91,28486.0625,509.724,2835,13801,69,16.0,9.0,9.0,0.0,0.020635351615530872,0.0
1786953906.172686,6.422134915366769,91,28486.0625,509.724,2835,13801,69,16.0,4.0,4.0,0.0,0.013847407005158852,0.0
1786953906.3714228,6.62087164260447,91,28486.0625,509.724,2835,13801,69,16.0,7.0,7.0,0.0,0.01927776269345638,0.0
1786953906.5710337,6.82048261910677,91,28486.0625,509.989,2842,13801,66,16.0,16.0,16.0,0.0,0.023893565028509367,0.0
1786953906.7681253,7.017574243247509,91,28486.0625,509.989,2842,13801,66,16.0,9.0,9.0,0.0,0.01873472712462665,0.0
1786953906.9680014,7.2174504064023495,93,28486.0625,509.49,2835,13801,66,16.0,9.0,9.0,0.0,0.02470811838175402,0.0
1786953907.1686292,7.4180785194039345,93,28486.0625,509.49,2835,13801,66,16.0,7.0,7.0,0.0,0.016834102633722536,0.0
1786953907.3701446,7.619593670591712,93,28486.0625,509.478,2835,13801,66,16.0,7.0,7.0,0.0,0.021178387184360603,0.0
1786953907.5710444,7.82049360498786,93,28486.0625,509.478,2835,13801,69,16.0,16.0,16.0,0.0,0.02552267173499867,0.0
1786953907.7714381,8.020887661725283,93,28486.0625,509.478,2835,13801,69,16.0,9.0,9.0,0.0,0.02036383383111595,0.0
1786953907.973599,8.223048320040107,91,28486.0625,509.679,2835,13801,69,12.0,9.0,9.0,0.0,0.017105620418137346,0.0
1786953908.172305,8.421754790470004,91,28486.0625,509.679,2835,13801,69,16.0,7.0,7.0,0.0,0.017920173771381998,0.0
1786953908.3772337,8.626683162525296,91,28486.0625,510.433,2835,13801,69,16.0,7.0,7.0,0.0,0.022264458322020064,0.0
1786953908.5775545,8.827003868296742,91,28486.0625,510.433,2835,13801,65,15.0,16.0,16.0,0.0,0.023622047244094446,0.0
1786953908.766,9.015449671074748,91,28486.0625,510.433,2835,13801,65,16.0,9.0,9.0,0.0,0.023350529459679636,0.0
1786953908.9696777,9.219127340242267,90,28486.0625,509.986,2835,13801,69,16.0,1.0,1.0,0.0,0.013847407005158852,0.0
1786953909.1664102,9.4158595521003,90,28486.0625,509.986,2835,13801,69,16.0,7.0,7.0,0.0,0.01927776269345638,0.0
1786953909.365978,9.615427574142814,90,28486.0625,507.717,2835,13801,69,16.0,15.0,15.0,0.0,0.023893565028509367,0.0
1786953909.5694733,9.81892261467874,90,28486.0625,507.717,2835,13801,69,16.0,9.0,9.0,0.0,0.01873472712462665,0.0
1786953909.769662,10.019111352041364,90,28486.0625,507.717,2835,13801,69,16.0,9.0,9.0,0.0,0.02470811838175402,0.0
1786953909.9699333,10.219382537528872,93,28486.0625,509.781,2835,13801,71,16.0,7.0,7.0,0.0,0.016834102633722536,0.0
1786953910.1724575,10.421906562522054,93,28486.0625,509.781,2835,13801,71,16.0,7.0,7.0,0.0,0.021178387184360603,0.0
1786953910.370501,10.619950411841273,93,28486.0625,508.624,2835,13801,70,16.0,16.0,16.0,0.0,0.02552267173499867,0.0
1786953910.5716047,10.821053814142942,93,28486.0625,508.624,2835,13801,70,16.0,9.0,9.0,0.0,0.02036383383111595,0.0
1786953910.7642698,11.013719487935305,93,28486.0625,508.624,2835,13801,70,12.0,9.0,9.0,0.0,0.017105620418137346,0.0
1786953910.961804,11.211253199726343,92,28486.0625,510.627,2827,13801,69,16.0,7.0,7.0,0.0,0.017920173771381998,0.0
1786953911.161739,11.411188246682286,92,28486.0625,510.627,2827,13801,69,16.0,8.0,8.0,0.0,0.022264458322020064,0.0
1786953911.361917,11.611366182565689,92,28486.0625,512.506,2842,13801,67,15.0,12.0,12.0,0.0,0.023622047244094446,0.0
1786953911.56469,11.814139302819967,92,28486.0625,512.506,2842,13801,67,16.0,5.0,5.0,0.0,0.023350529459679636,0.0
1786953911.7670157,12.01646483503282,92,28486.0625,512.506,2842,13801,67,16.0,0.0,0.0,0.0,0.013847407005158852,0.0
1786953911.969716,12.219165347516537,91,28486.0625,510.828,2842,13801,70,16.0,5.0,5.0,0.0,0.01927776269345638,0.0
1786953912.1650455,12.414494724944234,91,28486.0625,510.828,2842,13801,70,16.0,7.0,7.0,0.0,0.023893565028509367,0.0
1786953912.3624341,12.611883206292987,91,28486.0625,512.601,2842,13801,71,16.0,9.0,9.0,0.0,0.01873472712462665,0.0
