timestamp_unix_s,elapsed_s,gpu_util_pct,memory_used_mib,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,vllm_running,vllm_waiting,vllm_waiting_capacity,vllm_waiting_deferred,vllm_kv_cache_usage,vllm_preemptions_total
1787396546.1639311,0.020097114145755768,0,28193.9375,329.974,2925,13801,43,0.0,0.0,0.0,0.0,0.0,0.0
1787396546.3568594,0.21302491798996925,0,28193.9375,329.974,2925,13801,43,0.0,0.0,0.0,0.0,0.0,0.0
1787396546.557792,0.41395751014351845,0,28193.9375,329.974,2925,13801,43,1.0,0.0,0.0,0.0,0.00029205607476634476,0.0
1787396546.7608795,0.6170449778437614,0,28193.9375,329.974,2925,13801,43,7.0,0.0,0.0,0.0,0.003066588785046731,0.0
1787396546.9618406,0.8180061243474483,0,28193.9375,141.469,2932,13801,48,7.0,0.0,0.0,0.0,0.004964953271028083,0.0
1787396547.1630487,1.0192141644656658,0,28205.9375,141.469,2932,13801,48,16.0,0.0,0.0,0.0,0.008761682242990676,0.0
1787396547.3609731,1.217139221727848,87,28205.9375,300.355,2910,13801,53,9.0,0.0,0.0,0.0,0.005257009345794428,0.0
1787396547.5636284,1.4197944216430187,87,28205.9375,300.355,2910,13801,53,16.0,0.0,0.0,0.0,0.008761682242990676,0.0
1787396547.7612019,1.6173673272132874,87,28205.9375,300.355,2910,13801,53,7.0,0.0,0.0,0.0,0.004088785046728938,0.0
1787396547.9607372,1.8169027790427208,87,28205.9375,445.989,2872,13801,55,7.0,0.0,0.0,0.0,0.005257009345794428,0.0
1787396548.162851,2.019016958773136,87,28205.9375,445.989,2872,13801,55,5.0,0.0,0.0,0.0,0.0014602803738317238,0.0
1787396548.3620248,2.218190398067236,87,28205.9375,456.25,2902,13801,55,10.0,0.0,0.0,0.0,0.0043808411214952825,0.0
1787396548.5652595,2.421425189822912,87,28205.9375,456.25,2902,13801,55,16.0,0.0,0.0,0.0,0.008761682242990676,0.0
1787396548.7645051,2.6206704191863537,87,28205.9375,456.25,2902,13801,55,16.0,0.0,0.0,0.0,0.012266355140186924,0.0
1787396548.9630542,2.819219533354044,87,28205.9375,454.337,2872,13801,55,7.0,0.0,0.0,0.0,0.00598714953271029,0.0
1787396549.164875,3.0210404619574547,87,28205.9375,454.337,2872,13801,55,9.0,0.0,0.0,0.0,0.00423481308411211,0.0
1787396549.3634934,3.2196589708328247,88,28205.9375,457.472,2895,13801,54,9.0,0.0,0.0,0.0,0.0054030373831776,0.0
1787396549.5641513,3.420316729694605,88,28205.9375,457.472,2895,13801,54,16.0,0.0,0.0,0.0,0.00905373831775702,0.0
1787396549.7626557,3.6188211403787136,88,28205.9375,457.472,2895,13801,54,9.0,0.0,0.0,0.0,0.006425233644859807,0.0
1787396549.965473,3.821638748049736,88,28205.9375,459.519,2880,13801,56,7.0,0.0,0.0,0.0,0.0062792056074766345,0.0
1787396550.1607592,4.016924932599068,88,28205.9375,459.519,2880,13801,56,0.0,0.0,0.0,0.0,0.0,0.0
1787396550.362453,4.218618493527174,53,28205.9375,445.311,2895,13801,53,5.0,0.0,0.0,0.0,0.001898364485981352,0.0
1787396550.5663862,4.42255150526762,53,28205.9375,445.311,2895,13801,53,16.0,0.0,0.0,0.0,0.0062792056074766345,0.0
1787396550.7663443,4.622509580105543,53,28205.9375,445.311,2895,13801,53,16.0,0.0,0.0,0.0,0.010514018691588745,0.0
1787396550.9657326,4.8218978606164455,53,28205.9375,426.004,2887,13801,56,13.0,0.0,0.0,0.0,0.010075934579439227,0.0
1787396551.1683085,5.024473812431097,53,28205.9375,426.004,2887,13801,56,4.0,0.0,0.0,0.0,0.0029205607476635587,0.0
1787396551.3615386,5.217703804373741,88,28205.9375,458.338,2880,13801,55,5.0,0.0,0.0,0.0,0.002628504672897214,0.0
1787396551.56707,5.423235516995192,88,28205.9375,458.338,2880,13801,55,16.0,0.0,0.0,0.0,0.007593457943925186,0.0
1787396551.767598,5.623763509094715,88,28205.9375,458.338,2880,13801,55,14.0,0.0,0.0,0.0,0.00905373831775702,0.0
1787396551.9646468,5.820812378078699,88,28205.9375,462.756,2887,13801,57,13.0,0.0,0.0,0.0,0.010514018691588745,0.0
1787396552.161504,6.017669573426247,88,28205.9375,462.756,2887,13801,57,3.0,0.0,0.0,0.0,0.0014602803738317238,0.0
1787396552.3809993,6.237164944410324,89,28205.9375,458.635,2880,13801,55,5.0,0.0,0.0,0.0,0.0032126168224299034,0.0
1787396552.5688782,6.425043538212776,89,28205.9375,458.635,2880,13801,55,11.0,0.0,0.0,0.0,0.005110981308411255,0.0
1787396552.7663772,6.622542731463909,89,28205.9375,458.635,2880,13801,55,13.0,0.0,0.0,0.0,0.008177570093457986,0.0
