timestamp_unix_s,elapsed_s,gpu_util_pct,memory_used_mib,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,vllm_running,vllm_waiting,vllm_waiting_capacity,vllm_waiting_deferred,vllm_kv_cache_usage,vllm_preemptions_total
1787397668.4947033,0.013313446193933487,0,28193.9375,276.319,2940,13801,37,0.0,0.0,0.0,0.0,0.0,0.0
1787397668.6884296,0.20703959837555885,0,28193.9375,276.319,2940,13801,37,0.0,0.0,0.0,0.0,0.0,0.0
1787397668.8939989,0.41260916367173195,0,28193.9375,276.319,2940,13801,37,4.0,0.0,0.0,0.0,0.0013142523364485514,0.0
1787397669.0966966,0.615306667983532,0,28193.9375,276.319,2940,13801,37,4.0,0.0,0.0,0.0,0.002336448598130869,0.0
1787397669.297507,0.8161172904074192,0,28193.9375,168.144,2932,13801,43,4.0,0.0,0.0,0.0,0.003504672897196248,0.0
1787397669.495097,1.013707086443901,0,28193.9375,168.144,2932,13801,43,0.0,0.0,0.0,0.0,0.0,0.0
1787397669.694825,1.2134350761771202,0,28193.9375,260.336,2910,13801,39,0.0,0.0,0.0,0.0,0.0,0.0
1787397669.8951888,1.4137988835573196,0,28193.9375,260.336,2910,13801,39,0.0,0.0,0.0,0.0,0.0,0.0
1787397670.0981734,1.6167835965752602,0,28193.9375,260.336,2910,13801,39,2.0,0.0,0.0,0.0,0.0008761682242990343,0.0
1787397670.2961097,1.8147197291254997,0,28193.9375,221.827,2932,13801,42,2.0,0.0,0.0,0.0,0.001168224299065379,0.0
1787397670.4973774,2.015987642109394,0,28193.9375,221.827,2932,13801,42,4.0,0.0,0.0,0.0,0.002628504672897214,0.0
1787397670.6968496,2.2154594138264656,88,28193.9375,252.713,2917,13801,46,2.0,0.0,0.0,0.0,0.0014602803738317238,0.0
1787397670.8979611,2.4165711365640163,88,28193.9375,252.713,2917,13801,46,4.0,0.0,0.0,0.0,0.002628504672897214,0.0
1787397671.0971444,2.615754369646311,88,28193.9375,252.713,2917,13801,46,2.0,0.0,0.0,0.0,0.001168224299065379,0.0
1787397671.307161,2.825771253556013,88,28193.9375,378.144,2910,13801,46,2.0,0.0,0.0,0.0,0.0017523364485981796,0.0
1787397671.496344,3.014954261481762,88,28193.9375,378.144,2910,13801,46,2.0,0.0,0.0,0.0,0.0008761682242990343,0.0
1787397671.7045383,3.223148874938488,90,28193.9375,401.133,2902,13801,47,2.0,0.0,0.0,0.0,0.0014602803738317238,0.0
1787397671.9024897,3.4211003743112087,90,28193.9375,401.133,2902,13801,47,2.0,0.0,0.0,0.0,0.001168224299065379,0.0
1787397672.0975385,3.616148743778467,90,28193.9375,401.133,2902,13801,47,2.0,0.0,0.0,0.0,0.0014602803738317238,0.0
1787397672.296012,3.8146224431693554,90,28193.9375,401.077,2902,13801,47,0.0,0.0,0.0,0.0,0.0,0.0
1787397672.4956582,4.014268413186073,90,28193.9375,401.077,2902,13801,47,0.0,0.0,0.0,0.0,0.0,0.0
1787397672.695928,4.214538276195526,0,28193.9375,331.264,2910,13801,40,0.0,0.0,0.0,0.0,0.0,0.0
1787397672.896173,4.414783623069525,0,28193.9375,331.264,2910,13801,40,0.0,0.0,0.0,0.0,0.0,0.0
1787397673.0964005,4.615010552108288,0,28193.9375,331.264,2910,13801,40,0.0,0.0,0.0,0.0,0.0,0.0
1787397673.2961435,4.814753629267216,0,28193.9375,177.176,2940,13801,38,1.0,0.0,0.0,0.0,0.00029205607476634476,0.0
1787397673.4998546,5.018464557826519,0,28193.9375,177.176,2940,13801,38,4.0,0.0,0.0,0.0,0.002336448598130869,0.0
1787397673.6989222,5.21753254160285,89,28193.9375,159.807,2925,13801,46,4.0,0.0,0.0,0.0,0.0029205607476635587,0.0
1787397673.8967648,5.415374677628279,89,28193.9375,159.807,2925,13801,46,0.0,0.0,0.0,0.0,0.0,0.0
1787397674.0992935,5.6179036274552345,89,28193.9375,159.807,2925,13801,46,0.0,0.0,0.0,0.0,0.0,0.0
1787397674.298552,5.8171628303825855,89,28193.9375,261.68,2910,13801,41,2.0,0.0,0.0,0.0,0.0008761682242990343,0.0
1787397674.4981394,6.01674947142601,89,28193.9375,261.68,2910,13801,41,2.0,0.0,0.0,0.0,0.0014602803738317238,0.0
1787397674.7000046,6.2186147421598434,89,28193.9375,335.867,2910,13801,47,2.0,0.0,0.0,0.0,0.001168224299065379,0.0
1787397674.899297,6.417907066643238,89,28193.9375,335.867,2910,13801,47,3.0,0.0,0.0,0.0,0.0017523364485981796,0.0
1787397675.0979497,6.61655966937542,89,28193.9375,335.867,2910,13801,47,2.0,0.0,0.0,0.0,0.0010221962616822067,0.0
1787397675.300146,6.8187563344836235,89,28193.9375,375.2,2910,13801,49,2.0,0.0,0.0,0.0,0.0016063084112150072,0.0
1787397675.4994397,7.018049757927656,89,28193.9375,375.2,2910,13801,49,3.0,0.0,0.0,0.0,0.0021904205607476968,0.0
1787397675.6975214,7.216131541877985,89,28193.9375,409.201,2902,13801,48,2.0,0.0,0.0,0.0,0.0014602803738317238,0.0
1787397675.8983905,7.417000688612461,89,28193.9375,409.201,2902,13801,48,2.0,0.0,0.0,0.0,0.0008761682242990343,0.0
1787397676.098475,7.617084961384535,89,28193.9375,409.201,2902,13801,48,2.0,0.0,0.0,0.0,0.001168224299065379,0.0
