timestamp_unix_s,elapsed_s,gpu_util_pct,memory_used_mib,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,vllm_running,vllm_waiting,vllm_waiting_capacity,vllm_waiting_deferred,vllm_kv_cache_usage,vllm_preemptions_total
1787398241.0835776,0.013766176998615265,0,28281.9375,265.871,2932,13801,37,0.0,0.0,0.0,0.0,0.0,0.0
1787398241.282342,0.21253081038594246,0,28281.9375,265.871,2932,13801,37,0.0,0.0,0.0,0.0,0.0,0.0
1787398241.4830737,0.41326233744621277,0,28281.9375,265.871,2932,13801,37,0.0,0.0,0.0,0.0,0.0,0.0
1787398241.6855104,0.6156988441944122,0,28281.9375,265.871,2932,13801,37,4.0,0.0,0.0,0.0,0.004344284550638067,0.0
1787398241.8774464,0.8076354786753654,0,28281.9375,146.801,2925,13801,41,4.0,0.0,0.0,0.0,0.005430355688297639,0.0
1787398242.0809398,1.0111283920705318,0,28281.9375,146.801,2925,13801,41,4.0,0.0,0.0,0.0,0.007602497963616672,0.0
1787398242.2838502,1.2140387669205666,68,28281.9375,251.412,2895,13801,44,0.0,0.0,0.0,0.0,0.0,0.0
1787398242.4849885,1.4151773303747177,68,28281.9375,251.412,2895,13801,44,2.0,0.0,0.0,0.0,0.0016291067064893028,0.0
1787398242.6847768,1.6149653196334839,68,28281.9375,251.412,2895,13801,44,2.0,0.0,0.0,0.0,0.002715177844148764,0.0
1787398242.88537,1.8155586682260036,68,28281.9375,306.713,2917,13801,42,4.0,0.0,0.0,0.0,0.005701873472712449,0.0
1787398243.0854704,2.0156591199338436,68,28281.9375,306.713,2917,13801,42,2.0,0.0,0.0,0.0,0.002715177844148764,0.0
1787398243.2857788,2.2159667499363422,83,28281.9375,290.735,2902,13801,44,4.0,0.0,0.0,0.0,0.005430355688297639,0.0
1787398243.4868262,2.417014889419079,83,28281.9375,290.735,2902,13801,44,2.0,0.0,0.0,0.0,0.002715177844148764,0.0
1787398243.6878216,2.6180106811225414,83,28281.9375,290.735,2902,13801,44,2.0,0.0,0.0,0.0,0.0032582134129786056,0.0
1787398243.8859854,2.8161738254129887,83,28281.9375,361.492,2910,13801,44,1.0,0.0,0.0,0.0,0.0005430355688297306,0.0
1787398244.08532,3.0155085809528828,83,28281.9375,361.492,2910,13801,44,4.0,0.0,0.0,0.0,0.003801248981808336,0.0
1787398244.2855673,3.215755607932806,86,28281.9375,341.066,2902,13801,45,4.0,0.0,0.0,0.0,0.0059733912571273695,0.0
1787398244.484985,3.415173813700676,86,28281.9375,341.066,2902,13801,45,2.0,0.0,0.0,0.0,0.0032582134129786056,0.0
1787398244.6880844,3.6182733438909054,86,28281.9375,341.066,2902,13801,45,0.0,0.0,0.0,0.0,0.0,0.0
1787398244.8869393,3.817128174006939,86,28281.9375,342.708,2902,13801,45,4.0,0.0,0.0,0.0,0.0032582134129786056,0.0
1787398245.0894957,4.019684407860041,86,28281.9375,342.708,2902,13801,45,4.0,0.0,0.0,0.0,0.005430355688297639,0.0
1787398245.2860541,4.216242715716362,88,28281.9375,344.733,2895,13801,49,3.0,0.0,0.0,0.0,0.005158837903882718,0.0
1787398245.485168,4.415356572717428,88,28281.9375,344.733,2895,13801,49,0.0,0.0,0.0,0.0,0.0,0.0
