timestamp_unix_s,elapsed_s,gpu_util_pct,memory_used_mib,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,vllm_running,vllm_waiting,vllm_waiting_capacity,vllm_waiting_deferred,vllm_kv_cache_usage,vllm_preemptions_total
1787396528.3560343,0.013492602854967117,0,28193.9375,259.535,2932,13801,36,0.0,0.0,0.0,0.0,0.0,0.0
1787396528.550106,0.2075643613934517,0,28193.9375,259.535,2932,13801,36,0.0,0.0,0.0,0.0,0.0,0.0
1787396528.7534964,0.41095439717173576,0,28193.9375,259.535,2932,13801,36,1.0,0.0,0.0,0.0,0.00029205607476634476,0.0
1787396528.9571483,0.6146066710352898,0,28193.9375,259.535,2932,13801,36,4.0,0.0,0.0,0.0,0.001898364485981352,0.0
1787396529.1583242,0.8157825656235218,0,28193.9375,170.877,2917,13801,42,4.0,0.0,0.0,0.0,0.0029205607476635587,0.0
1787396529.3567142,1.0141724348068237,0,28193.9375,170.877,2917,13801,42,0.0,0.0,0.0,0.0,0.0,0.0
1787396529.5567448,1.2142027616500854,38,28193.9375,275.966,2910,13801,40,0.0,0.0,0.0,0.0,0.0,0.0
1787396529.7567337,1.4141917116940022,38,28193.9375,275.966,2910,13801,40,0.0,0.0,0.0,0.0,0.0,0.0
1787396529.9576755,1.6151334419846535,38,28193.9375,275.966,2910,13801,40,1.0,0.0,0.0,0.0,0.00029205607476634476,0.0
1787396530.1594448,1.816902745515108,38,28193.9375,245.401,2932,13801,36,4.0,0.0,0.0,0.0,0.002336448598130869,0.0
1787396530.358171,2.0156292617321014,38,28193.9375,245.401,2932,13801,36,4.0,0.0,0.0,0.0,0.0029205607476635587,0.0
1787396530.5575938,2.215052206069231,87,28193.9375,234.931,2917,13801,45,0.0,0.0,0.0,0.0,0.0,0.0
1787396530.7586849,2.4161431938409805,87,28193.9375,234.931,2917,13801,45,0.0,0.0,0.0,0.0,0.0,0.0
1787396530.960158,2.6176162622869015,87,28193.9375,234.931,2917,13801,45,4.0,0.0,0.0,0.0,0.0017523364485981796,0.0
